# file: leaps-seconds.list valid until 2021-12-28 00.00.00
#$  # MJD: 15020, modified on 1900-01-01 00.00.00
#@ 3849638400 # MJD: 59576, expires on 2021-12-28 00.00.00
# sha1: fea88a499c9c6910369ddb35903d5daeef25f9a2
# NTP Time	DTAI # MJD, UT1 Date
2272060800	10 # 41317.0 1972-01-01 00.00.10
2287785600	11 # 41499.0 1972-07-01 00.00.11
2303683200	12 # 41683.0 1973-01-01 00.00.12
2335219200	13 # 42048.0 1974-01-01 00.00.13
2366755200	14 # 42413.0 1975-01-01 00.00.14
2398291200	15 # 42778.0 1976-01-01 00.00.15
2429913600	16 # 43144.0 1977-01-01 00.00.16
2461449600	17 # 43509.0 1978-01-01 00.00.17
2492985600	18 # 43874.0 1979-01-01 00.00.18
2524521600	19 # 44239.0 1980-01-01 00.00.19
2571782400	20 # 44786.0 1981-07-01 01.00.20
2603318400	21 # 45151.0 1982-07-01 01.00.21
2634854400	22 # 45516.0 1983-07-01 01.00.22
2698012800	23 # 46247.0 1985-07-01 01.00.23
2776982400	24 # 47161.0 1988-01-01 00.00.24
2840140800	25 # 47892.0 1990-01-01 00.00.25
2871676800	26 # 48257.0 1991-01-01 00.00.26
2918937600	27 # 48804.0 1992-07-01 01.00.27
2950473600	28 # 49169.0 1993-07-01 01.00.28
2982009600	29 # 49534.0 1994-07-01 01.00.29
3029443200	30 # 50083.0 1996-01-01 00.00.30
3076704000	31 # 50630.0 1997-07-01 01.00.31
3124137600	32 # 51179.0 1999-01-01 00.00.32
3345062400	33 # 53736.0 2006-01-01 00.00.33
3439756800	34 # 54832.0 2009-01-01 00.00.34
3550089600	35 # 56109.0 2012-07-01 01.00.35
3644697600	36 # 57204.0 2015-07-01 01.00.36
3692217600	37 # 57754.0 2017-01-01 00.00.37
# expires on 2021-12-28 00.00.00 (3849638400)
#h fea88a49 9c9c6910 369ddb35 903d5dae ef25f9a2
